order,name,name_en,status,category,update,effort,new,description,description_en
1,Creacion de personaje,Character creation,done,Personaje,U11,,,Pantalla para crear el personaje desde el menu,Screen to create your character from the menu
2,Creacion de mundo,World creation,done,Mundo,"U11, U15",,,"Pantalla para crear un mundo nuevo: eligiendo tamaño, semilla y theme","Screen to create a new world: choosing size, seed and theme"
3,Modo Survival vs Creativo (seleccion),Survival vs Creative mode (selection),done,Interfaz,U13,,,"Se puede elegir el modo al crear personaje y mundo, y el mundo solo deja entrar personajes de su mismo modo","You can pick the mode when creating a character and a world, and a world only lets in characters of its same mode"
4,Chat,Chat,done,Multijugador,U33,,,"Chat entre jugadores, mas mensajes y eventos que manda el servidor","Chat between players, plus messages and events sent by the server"
5,Consola de comandos,Command console,done,Interfaz,U16,,,Herramienta interna para probar y depurar cosas mas rapido durante el desarrollo,Internal tool to test and debug things faster during development
6,Multijugador hasta 6 (en el juego),Multiplayer up to 6 (in-game),done,Multijugador,U10,,,"Hasta 6 jugadores pueden compartir el mismo mundo de forma sincronizada, jugando desde el juego","Up to 6 players can share the same world in sync, playing from inside the game"
7,Servidor headless (dedicado),Headless (dedicated) server,done,Multijugador,U23,,,El mundo se puede hostear 24/7 en una maquina sin necesidad de abrir el juego,The world can be hosted 24/7 on a machine without needing to open the game
8,Sistema de kick y administracion,Kick and admin system,done,Multijugador,U25,,,"Se puede expulsar jugadores del servidor, ver logs, backups y ping","Players can be kicked from the server, plus logs, backups and ping"
9,Mapa y minimapa,Map and minimap,done,Interfaz,U16,,,"Mapa completo y minimapa, con fog of war (solo se ve lo ya explorado)","Full map and minimap, with fog of war (you only see what you've already explored)"
10,Mundo con biomas y agua/lava,World with biomes and water/lava,improved,Mundo,U15 -> U43,,,"El mapa se genera con distintas zonas: llanuras, bosque, desierto, pantano, tundra y zona volcanica, con parches de agua y lava","The map is generated with different zones: plains, forest, desert, swamp, tundra and a volcanic zone, with water and lava patches"
11,Objetos del mundo configurables,Configurable world objects,done,Mundo,U75,,,"Arboles, rocas y otros objetos del entorno se pueden agregar sin tocar codigo","Trees, rocks and other environment objects can be added without touching code"
12,Arboles talables,Choppable trees,improved,Recursos,U70 -> U77,,,Los arboles crecen en fases con el tiempo y se pueden cortar para conseguir madera. Mejorado despues con crecimiento por fases y plantado de semillas,Trees grow through phases over time and can be cut down for wood. Later improved with phased growth and seed planting
13,Yacimientos de roca,Rock deposits,improved,Recursos,U71 -> U72-74,,,Depositos de piedra que se pueden minar para conseguir material de construccion. La forma de colision se afino en updates posteriores,Stone deposits that can be mined for building material. The collision shape was refined in later updates
513,"Materiales basicos (madera, piedra, palo)","Basic materials (wood, stone, stick)",improved,Recursos,U8 -> U102,,,"Los materiales fisicos de base que se acarrean y usan para craftear. Update 102: piedra y madera dejaron de cargarse a cuestas como los edificios, ahora van directo a la mochila con E, para no trabar la construccion temprana. Decision consciente de ablandar un poco el pilar de ""logistica fisica"" — Pablo dejo anotado que mas adelante puede volver para cosas realmente pesadas","The base physical materials that get carried around and used for crafting. Update 102: rock and wood stopped being carried on your head like buildings, they now go straight into the bag with E, so they don't get in the way of early building. A deliberate choice to soften the ""physical logistics"" pillar a bit — Pablo noted it might come back later for genuinely heavy things"
15,Enemigos basicos,Basic enemies,improved,Combate,U6 -> U49,,,Criaturas que atacan al jugador. Despues se les cambio el arte (variantes tipo slime),Creatures that attack the player. Their art was changed later (slime-style variants)
16,Construccion basica,Basic construction,done,Edificios,"U4, ampliado U63-69",,,"Mesa de trabajo, cofre, pared, cerca y muchos edificios mas ya se pueden construir en el mundo","Workbench, chest, wall, fence and many more buildings can already be built in the world"
17,Menu de construccion,Building menu,done,Edificios,U63-69,,,Interfaz para elegir y colocar edificios en el mundo,Interface to pick and place buildings in the world
18,Crafteo flexible,Flexible crafting,done,Edificios,U65,,,Cualquier edificio con almacenamiento sirve como estacion de crafteo,Any building with storage works as a crafting station
19,Arte direccional de edificios,Directional building art,improved,Edificios,U52 -> U53-62,,,Los edificios con arte real se ven distinto segun el lado desde el que los mires. Pulido varias veces despues,Buildings with real art look different depending on which side you're viewing them from. Polished several times since
20,Equipamiento,Equipment,improved,Combate,U17 -> U78,,,Se puede equipar un arma y items con daño y defensa. Mejorado despues para ser data-driven,You can equip a weapon and items with damage and defense. Later improved to be data-driven
21,Inventario y equipo (interfaz),Inventory and equipment (UI),done,Personaje,"U8, U17, U18",,,"Ventanas de inventario y equipo con arrastrar y soltar, tooltips y atajos","Inventory and equipment windows with drag and drop, tooltips and shortcuts"
22,Personaje portatil,Portable character,done,Personaje,"U8, U17",,,"El inventario, la barra rapida y el equipo viajan con el personaje entre partidas","Inventory, hotbar and equipment travel with the character between play sessions"
23,Multilenguaje (ES/EN),Multi-language (ES/EN),done,Interfaz,U5,,,Todos los textos del juego existen en español e ingles,All game text exists in Spanish and English
24,Pantalla de configuracion,Settings screen,done,Interfaz,U12,,,"Idioma, audio y reasignar teclas desde una pantalla de settings","Language, audio and key rebinding from a settings screen"
25,Vida y estamina,Health and stamina,done,Combate,"U12, U34",,,"Barras de vida y estamina que se gastan al pelear, correr o esquivar","Health and stamina bars that drain when fighting, running or dodging"
26,"Correr, agacharse y atacar","Run, crouch and attack",done,Combate,"U34, U36",,,"Movimientos de sprint, sigilo y ataque, con sus animaciones","Sprint, sneak and attack moves, with their animations"
27,"Ciclo de dia, año y horario","Day, year and time-of-day cycle",done,Mundo,"U31, U31.1, U32",,,"Reloj de 24 horas con fases del dia, contador de dias y de años, configurable por mundo","24-hour clock with day phases, a day counter and a year counter, configurable per world"
28,Cuevas explorables,Explorable caves,done,Exploracion,U20,,,"Existen instancias separadas del mundo principal, como cuevas, para explorar, generadas al azar","Separate instances from the main world, like caves, to explore, randomly generated"
29,Guardado de partida,Save games,done,Persistencia,U7,,,El progreso de personajes y mundos se guarda y se puede retomar despues,Character and world progress is saved and can be resumed later
30,Sistema de chunks (mapas grandes),Chunk system (large maps),done,Mundo,U80-85,,,"El mapa se genera, activa y guarda por partes en vez de todo junto, para poder tener mundos mucho mas grandes sin perder velocidad. Incluye mejoras en como se guardan los objetos del mundo","The map is generated, activated and saved in pieces instead of all at once, to allow much bigger worlds without losing speed. Includes improvements to how world objects are saved"
31,"Arte real en personaje, edificios y mundo","Real art for character, buildings and world",done,Arte,"U38, U50, U52-62",,,"Reemplazo del arte de prueba por arte real: personaje, texturas de biomas, edificios direccionales e iconos","Placeholder art replaced with real art: character, biome textures, directional buildings and icons"
32,Tema visual claro y oscuro,Light and dark visual theme,done,Interfaz,U44,,,La interfaz se puede ver en modo claro u oscuro segun preferencia,"The interface can be viewed in light or dark mode, whichever you prefer"
33,Diferenciar funcionalidad Survival vs Creativo,Differentiate Survival vs Creative functionality,backlog,Interfaz,,3,,"El modo se elige y se aplica, pero todavia faltan diferencias reales de juego (ej: creativo sin gastar recursos ni tiempo)","The mode is picked and applied, but there are still no real gameplay differences (e.g. Creative not costing resources or time)"
34,Primer jefe,First boss,backlog,Combate,,5,,Un enemigo grande de fin de zona con su propia pelea,A big end-of-zone enemy with its own fight
35,Mas enemigos,More enemies,backlog,Combate,,3,,Nuevos tipos de criaturas ademas de los basicos actuales,New creature types beyond the current basic ones
36,Clases de combate,Combat classes,backlog,Combate,,5,,Distintos estilos para pelear segun como quieras jugar,Different fighting styles depending on how you want to play
37,Drops por tipo de enemigo y cofre,Drops by enemy type and chest tier,backlog,Combate,,4,,Cada enemigo y cofre va a tener su propia tabla de recompensas. Bloqueado hasta tener sistema de tipos de mob y tiers de cofre,Every enemy and chest will have its own reward table. Blocked until there's a mob-type and chest-tier system
38,Armaduras adicionales,Additional armor,backlog,Combate,,2,,Mas piezas de equipo para defenderse ademas de las actuales,"More equipment pieces to defend yourself, beyond the current ones"
39,Comida y pociones,Food and potions,backlog,Recursos,,3,,Consumibles para curarse o darte ventajas temporales,Consumables to heal or give you temporary boosts
40,Mas recetas de crafteo,More crafting recipes,backlog,Edificios,,2,,Ampliar lo que se puede fabricar en las estaciones existentes,Expand what can be made at the existing stations
41,Mejoras de edificios,Building upgrades,backlog,Edificios,,3,,Poder subir de nivel los edificios ya construidos,Being able to level up buildings you've already built
42,Destruir edificios,Destroy buildings,backlog,Edificios,,3,,Poder demoler lo construido y recuperar parte del material,Being able to demolish what you've built and recover part of the material
514,Sistema de monedas,Currency system,done,Economia,U108,,,"La moneda del juego se llama Tal (el sistema completo es ""the Tally"", la cuenta que lleva un comerciante). No es un item mas: es un numero separado en el personaje, asi nunca se queda ""sin espacio"" para cobrar una recompensa","The game's currency is called Tal (the full system is ""the Tally"", the running tab a merchant keeps). It's not just another item: it's a separate number on the character, so you never run out of ""space"" to collect a reward"
44,Cosmeticos,Cosmetics,backlog,Personaje,,3,,Apariencias para personalizar tu personaje sin afectar el juego,Appearances to customize your character without affecting gameplay
45,Profesiones,Professions,backlog,Personaje,,3,,Especializaciones que le dan un rol distinto a cada jugador,Specializations that give each player a different role
46,Razas jugables,Playable races,backlog,Personaje,,5,,Elegir entre distintas razas al crear el personaje,Choosing between different races when creating your character
47,Niveles y arbol de habilidades,Levels and skill tree,backlog,Personaje,,5,,Progresion de estadisticas y habilidades a medida que jugas,Stat and ability progression as you play
48,Segundo bioma tematico,Second themed biome,backlog,Mundo,,4,,Una nueva ambientacion completa ademas de la actual,A whole new setting in addition to the current one
49,Colonia de NPCs,NPC colony,backlog,Contenido,,5,,Personajes no jugables que se pueden sumar a tu base,Non-playable characters that can join your base
510,Sistema de misiones,Quest system,done,Contenido,U105-106,,,"Misiones data-driven con una primera cadena de 5. Ventana de log (J), tracker en pantalla, y objetivos que se detectan solos (identificar algo, tener algo) sin tocar codigo en cada lugar donde podria pasar","Data-driven quests with a first chain of 5. Log window (J), on-screen tracker, and objectives that detect themselves (identify something, own something) without touching code at every place it could happen"
501,Optimizaciones en el codigo,Code optimizations,done,Tecnico,U86-91,,,"Se separaron archivos gigantes (World.cs, Main.cs, EntityView.cs) en partes mas chicas organizadas por dominio, y se reagruparon carpetas de comandos y UI por feature, sin cambiar el comportamiento del juego","Huge files (World.cs, Main.cs, EntityView.cs) were split into smaller pieces organized by domain, and command/UI folders were regrouped by feature, with no change in game behavior"
502,Tests con output mientras corren,Tests with live output,done,Tecnico,U92,,,"test.bat en la raiz del repo corre los tests mostrando el resultado de cada uno en vivo, en vez de solo un resumen al final","test.bat at the repo root runs the tests showing each result live, instead of just a summary at the end"
505,Fix: plantar semilla no funciona,Fix: seed planting doesn't work,done,Recursos,U94,,,"Investigado en Update 94: no era un bug de codigo, el plantado funciona bien (probado headless). Lo que faltaba era feedback visual claro al presionar E, por eso parecia roto","Investigated in Update 94: it wasn't a code bug, planting works fine (tested headless). What was missing was clear visual feedback when pressing E, which is why it looked broken"
503,Pantalla de carga al crear el mundo,Loading screen when creating a world,done,Interfaz,U93,,,Se muestra una pantalla de carga con progreso real mientras se genera un mundo nuevo,Shows a loading screen with real progress while a new world is generated
504,Pantalla de carga al entrar al mundo,Loading screen when entering a world,done,Interfaz,U93,,,Se muestra una pantalla de carga con progreso real al entrar a un mundo ya existente,Shows a loading screen with real progress when entering an existing world
56,Arbustos cosechables de un golpe,One-hit harvestable bushes,backlog,Combate,,1,,"Bloqueado: necesita un objeto real de tipo arbusto (G) primero, todavia no existe ninguno","Blocked: needs a real bush-type (G) object first, none exist yet"
57,Colision al crecer un arbol,Collision when a tree grows,backlog,Recursos,,1,,"Bloqueado: al crecer, un arbol no chequea si el lugar de al lado sigue libre. Solo importa si se agrega una fase intermedia tipo brote","Blocked: when growing, a tree doesn't check whether the adjacent tile is still free. Only matters if an intermediate ""sapling"" phase gets added"
508,Stats de personaje,Character stats,done,Personaje,U95-101,,,"Atributos, stats derivados y ficha de personaje (U95). Ya afecta el juego de verdad: vida maxima, estamina, velocidad y daño cuerpo a cuerpo (U101). El resto de los stats derivados siguen solo visuales hasta que exista el sistema que los use","Attributes, derived stats and a character sheet (U95). Already affects the actual game: max health, stamina, speed and melee damage (U101). The rest of the derived stats stay visual-only until a system exists to use them"
59,Mas variedad de items,More item variety,backlog,Recursos,,2,,Sumar mas items en general al juego,Adding more items to the game in general
509,Sistema de aprender recetas,Recipe discovery system,done,Edificios,U103,,,"No es ""encontrar una receta como item"": una receta se desbloquea sola apenas identificaste todos los materiales que necesita. Si ya sabias que era una roca antes de que esto existiera, esa receta ya te aparece medio desbloqueada","It's not ""finding a recipe as an item"": a recipe unlocks itself as soon as you've identified all the materials it needs. If you already knew what a rock was before this existed, that recipe shows up already half-unlocked for you"
61,Mejoras a las instancias de exploracion,Improvements to exploration instances,backlog,Exploracion,,3,,"Mejor generacion y mas variedad para las cuevas y otros sub-niveles. Idea: niveles ramificados donde elegir un camino cierra los demas, pero otro mundo con el mismo seed puede abrir un camino distinto. Comparar tambien contra el modelo de ubicaciones de mazmorra persistidas (con sus propias salas y zonas de transicion) cuando se retome el tamaño de las instancias de exploracion","Better generation and more variety for caves and other sub-levels. Idea: branching levels where picking one path closes the others, but another world with the same seed could open a different path. Also compare against the persisted-dungeon-location model (with its own rooms and transition zones) when exploration-instance sizing gets revisited"
62,POIs (puntos de interes),POIs (points of interest),backlog,Mundo,,3,,"Lugares especiales repartidos por el mundo generado, mas alla de recursos comunes","Special locations scattered across the generated world, beyond common resources"
63,Contenido artesanal insertado a mano,Hand-placed content,backlog,Mundo,,3,,"Zonas o estructuras diseñadas a mano que aparecen en el mundo generado, estilo Romestead","Hand-designed zones or structures that appear in the generated world, Romestead-style"
64,Audio y musica,Audio and music,backlog,Audio,,3,,"Musica, efectos de sonido y sensacion general de juego (todavia no se empezo)","Music, sound effects and overall game feel (not started yet)"
65,Naturaleza gana terreno,Nature reclaims terrain,backlog,Mundo,,3,,Zonas sin uso del mundo se van cubriendo de naturaleza con el tiempo,Unused areas of the world slowly get covered by nature over time
66,Eventos de invasion,Invasion events,backlog,Contenido,,4,,Oleadas de enemigos (ej estilo zombies) que atacan cada cierto tiempo,Waves of enemies (e.g. zombie-style) that attack every so often
67,Building interplanetario (portal entre mundos),Interplanetary building (portal between worlds),backlog,Multijugador,,5,,"Un edificio que te deja viajar a otro mapa sin salir por el mapa principal, necesitas el mismo edificio del otro lado para mandar cosas mejores",A building that lets you travel to another map without leaving through the main map; you need the same building on the other side to send better things over
68,Viajes en el tiempo,Time travel,backlog,Contenido,,5,,"Idea suelta, todavia sin definir como encajaria en el juego","Loose idea, not yet defined how it would fit into the game"
69,Universos paralelos,Parallel universes,backlog,Contenido,,5,,"Idea suelta inspirada en Stargate, todavia sin definir","Loose idea inspired by Stargate, not yet defined"
70,Fe y rituales,Faith and rituals,backlog,Contenido,,4,,"Sistema de creencias con rituales, por ejemplo para hacer llover","A belief system with rituals, e.g. to make it rain"
71,Robots recolectores,Gathering robots,backlog,Recursos,,4,,Robots que recolectan recursos de forma automatica,Robots that gather resources automatically
72,Creador de robots/ciudadanos,Robot/citizen creator,backlog,Personaje,,4,,"Fabricar un ciudadano robot con stats al azar, mejores o peores segun la habilidad de quien lo construye","Building a robot citizen with random stats, better or worse depending on the builder's skill"
73,Autos,Vehicles,backlog,Recursos,,3,,Vehiculos para moverse mas rapido por el mundo,Vehicles to move around the world faster
74,Teleports,Teleports,backlog,Mundo,,3,,Puntos de teletransporte dentro del mismo mundo,Teleport points within the same world
